Country,,Children per Women,Fertility,Population,,Year
Netherlands,,1.65,6.53,5.67,,1998
Netherlands Antilles,,2.11,0,,,1998
New Caledonia,,2.48,17.4,8.16,,1998
New Zealand,,2,28.9,6.8,,1998
Nicaragua,,3.2,127,11.7,,1998
Niger,,7.69,218,10.3,,1998
Nigeria,,6.13,132,10.8,,1998
Niue,,,0,,,1998
North Korea,,2,1.21,7.67,,1998
North Macedonia,,1.77,30.6,8.22,,1998
Northern Mariana Islands,,,67.8,,,1998
Norway,,1.85,11.7,5.7,,1998
Oman,,3.99,33.1,12.4,,1998
Pakistan,,4.73,52.5,10.4,,1998
Palau,,,32.5,,,1998
Palestine,,5.55,86.5,10.5,,1998
Panama,,2.77,91.5,9.66,,1998
Papua New Guinea,,4.57,73.8,10.7,,1998
Paraguay,,3.68,88.1,10.8,,1998
Peru,,2.99,66.9,10.2,,1998
Philippines,,3.85,51,10.4,,1998
Poland,,1.41,18.2,8.3,,1998
Portugal,,1.46,20,6.67,,1998
Puerto Rico,,1.94,69.4,7.88,,1998
Qatar,,3.33,22,9.51,,1998
Reunion,,2.36,35.6,8.39,,1998
Romania,,1.31,39.8,7.35,,1998
Russia,,1.16,32.6,7.47,,1998
Rwanda,,5.74,50,12.1,,1998
Samoa,,4.54,42,9.94,,1998
San Marino,,,5.5,,,1998
Sao Tome and Principe,,5.33,88.8,12.4,,1998
Saudi Arabia,,4.14,30.6,10.7,,1998
Senegal,,5.57,111,11.3,,1998
Serbia,,1.79,27.1,6.99,,1998
Seychelles,,2.16,61,9.81,,1998
Sierra Leone,,6.39,148,10.5,,1998
Singapore,,1.47,7.6,6.47,,1998
Slovak Republic,,1.31,24.9,8.07,,1998
Slovenia,,1.21,7.52,6.85,,1998
Solomon Islands,,4.79,70.7,11,,1998
Somalia,,7.66,72.3,9.57,,1998
South Africa,,2.87,76.6,10.8,,1998
South Korea,,1.41,2.65,8.11,,1998
South Sudan,,6.3,,9.98,,1998
Spain,,1.21,8.1,6.49,,1998
Sri Lanka,,2.24,30.4,9.84,,1998
St. Helena,,,0,,,1998
St. Kitts and Nevis,,,63.3,,,1998
St. Lucia,,2.35,66.7,10.1,,1998
St. Vincent and the Grenadines,,2.44,71.5,10.6,,1998
Sudan,,5.54,81.7,10.7,,1998
Suriname,,2.9,48.4,9.25,,1998
Sweden,,1.51,8.6,5.43,,1998
Switzerland,,1.45,6.17,5.46,,1998
Syria,,4.14,49.3,11.9,,1998
Taiwan,,1.56,13,8.75,,1998
Tajikistan,,4.05,34.1,10.9,,1998
Tanzania,,5.71,133,10.8,,1998
Thailand,,1.71,44.9,8.57,,1998
Timor-Leste,,7.08,71.2,9.37,,1998
Togo,,5.46,87.9,11.3,,1998
Tokelau,,,45,,,1998
Tonga,,4.27,22,11.3,,1998
Trinidad and Tobago,,1.77,39.4,11,,1998
Tunisia,,2.21,7.67,10.6,,1998
Turkey,,2.56,48.3,9.98,,1998
Turkmenistan,,2.9,19.9,10.2,,1998
Turks and Caicos Islands,,,0,,,1998
Tuvalu,,,42.3,,,1998
Uganda,,6.9,184,10.7,,1998
Ukraine,,1.17,36,7.07,,1998
United Arab Emirates,,2.77,26.5,9.52,,1998
United Kingdom,,1.69,30.9,5.83,,1998
United States,,2.01,47.5,6.74,,1998
Uruguay,,2.27,65.8,7.41,,1998
Uzbekistan,,2.87,30.6,10.5,,1998
Vanuatu,,4.46,60.4,11,,1998
Venezuela,,2.87,93.3,10,,1998
Vietnam,,2.1,26.6,10.1,,1998
Virgin Islands (U.S.),,2.13,46.2,7.71,,1998
Wallis et Futuna,,,18,,,1998
Western Sahara,,3.21,,10.9,,1998
Yemen,,6.51,102,10.9,,1998
Zambia,,6.07,150,11.3,,1998
Zimbabwe,,4.1,93.8,12.3,,1998
Afghanistan,,7.49,182,10.3,,1999
Albania,,2.16,16.4,9.42,,1999
Algeria,,2.51,9.83,12,,1999
American Samoa,,,58.7,,,1999
Andorra,,,0,,,1999
Angola,,6.64,207,10.8,,1999
Anguilla,,,72.9,,,1999
Antigua and Barbuda,,2.32,61.9,8.2,,1999
Argentina,,2.56,64.7,8.54,,1999
Armenia,,1.3,32.8,9.09,,1999
Aruba,,1.87,53,6.54,,1999
Australia,,1.76,17.7,6.69,,1999
Austria,,1.37,13.5,5.66,,1999
Azerbaijan,,2.03,36.6,9.49,,1999
Bahamas,,2.07,51.2,9.15,,1999
Bahrain,,2.77,16.6,8.95,,1999
Bangladesh,,3.12,116,11.1,,1999
Barbados,,1.74,47.7,7.07,,1999
Belarus,,1.24,28.4,7.4,,1999
Belgium,,1.63,11.5,5.66,,1999
Belize,,3.6,97.2,11,,1999
Benin,,5.96,120,10.3,,1999
Bermuda,,,23.7,,,1999
Bhutan,,3.6,65,11.4,,1999
Bolivia,,4.06,85.4,10.1,,1999
Bosnia and Herzegovina,,1.5,21.7,7.18,,1999
Botswana,,3.39,66,11.8,,1999
Brazil,,2.3,87.5,10.1,,1999
British Virgin Islands,,,45.6,,,1999
Brunei,,2.22,27.2,8.61,,1999
Bulgaria,,1.18,46.5,6.41,,1999
Burkina Faso,,6.59,133,10.8,,1999
Burundi,,7.01,33.4,11.7,,1999
Cambodia,,3.81,48.6,13,,1999
Cameroon,,5.58,139,11.1,,1999
Canada,,1.52,17,6.57,,1999
Cape Verde,,3.76,99.1,11.3,,1999
Cayman Islands,,,0,,,1999
Central African Republic,,5.5,127,10.6,,1999
Chad,,7.35,191,10.3,,1999
Channel Islands,,1.4,12.6,5.19,,1999
Chile,,2.11,63.7,8.23,,1999
China,,1.5,7.65,7.94,,1999
Colombia,,2.39,94.1,9.61,,1999
Comoros,,5.32,64.7,11.1,,1999
"Congo, Dem. Rep.",,6.96,235,10.3,,1999
"Congo, Rep.",,5.1,130,10.7,,1999
Cook Is,,,0,,,1999
Costa Rica,,2.37,80.6,9.62,,1999
Cote d'Ivoire,,5.71,136,10.9,,1999
Croatia,,1.44,15.7,6.44,,1999
Cuba,,1.62,57.3,6.62,,1999
Curaçao,,,,7.19,,1999
Cyprus,,1.72,9.56,7.89,,1999
Czech Republic,,1.12,12.8,6.39,,1999
Denmark,,1.77,7.8,5.09,,1999
Djibouti,,4.48,29.7,10.6,,1999
Dominica,,,51.6,,,1999
Dominican Republic,,2.89,110,10.4,,1999
Ecuador,,3.03,84.9,10,,1999
Egypt,,3.23,55,10.9,,1999
El Salvador,,3.02,99.7,9.61,,1999
Equatorial Guinea,,5.83,131,10.5,,1999
Eritrea,,5.33,89.4,13,,1999
Estonia,,1.32,26.1,6.63,,1999
Eswatini,,4.19,105,12.6,,1999
Ethiopia,,6.53,103,10.8,,1999
Faeroe Islands,,,18.3,,,1999
Falkland Is (Malvinas),,,0,,,1999
Fiji,,3.09,43.2,10.8,,1999
Finland,,1.73,10,6.12,,1999
France,,1.82,8.02,6.31,,1999
French Guiana,,3.82,125,8.16,,1999
French Polynesia,,2.46,57.9,9.97,,1999
Gabon,,4.54,116,10.3,,1999
Gambia,,5.95,114,10.1,,1999
Georgia,,1.61,53.3,7.49,,1999
Germany,,1.35,13.3,5.34,,1999
Ghana,,4.83,84,10.6,,1999
Gibraltar,,,0,,,1999
Greece,,1.32,8.72,6.51,,1999
Greenland,,2.33,79.6,,,1999
Grenada,,2.58,55.3,11.1,,1999
Guadeloupe,,2.09,32.9,8.26,,1999
Guam,,2.82,64,8.1,,1999
Guatemala,,4.6,118,11.2,,1999
Guinea,,6.08,169,10.3,,1999
Guinea-Bissau,,5.82,137,11.2,,1999
Guyana,,3.02,79,9.33,,1999
Haiti,,4.3,56.2,11.6,,1999
Honduras,,4.06,107,11,,1999
"Hong Kong, China",,0.98,4.4,6.4,,1999
Hungary,,1.31,22.7,6.08,,1999
Iceland,,2.01,22.8,7.6,,1999
India,,3.31,106,10.3,,1999
Indonesia,,2.51,48.6,10.4,,1999
Iran,,2.21,39.5,13.5,,1999
Iraq,,4.89,65.6,10.9,,1999
Ireland,,1.95,19.3,8.82,,1999
Israel,,2.92,16.7,8.41,,1999
Italy,,1.25,7.15,5.08,,1999
Jamaica,,2.58,88.7,9.58,,1999
Japan,,1.32,5.4,5.71,,1999
Jordan,,4.03,34.8,11.3,,1999
Kazakhstan,,1.92,33.1,8.89,,1999
Kenya,,5.18,105,11.8,,1999
Kiribati,,4.06,70.8,10.5,,1999
Kuwait,,2.85,20.4,9.04,,1999
Kyrgyz Republic,,2.66,34,10.3,,1999
Lao,,4.31,53.4,10.8,,1999
Latvia,,1.18,18.7,6.79,,1999
Lebanon,,2.23,24.7,8.97,,1999
Lesotho,,4.09,91.4,12.2,,1999
Liberia,,5.88,149,10.7,,1999
Libya,,2.86,4.18,11.7,,1999
Liechtenstein,,,5.9,,,1999
Lithuania,,1.34,25.6,6.86,,1999
Luxembourg,,1.7,12.2,5.33,,1999
"Macao, China",,0.94,4.8,7.48,,1999
Madagascar,,5.55,152,10.4,,1999
Malawi,,6.15,160,10.3,,1999
Malaysia,,2.78,15.1,9.84,,1999
Maldives,,2.94,32.5,12.8,,1999
Mali,,6.9,190,10.8,,1999
Malta,,1.67,24,7.17,,1999
Marshall Islands,,,0,,,1999
Martinique,,1.9,27.6,5.8,,1999
Mauritania,,5.45,91.4,10.9,,1999
Mauritius,,1.99,36.4,8.44,,1999
Mayotte,,4.94,0,11.4,,1999
Mexico,,2.72,75.7,10.2,,1999
"Micronesia, Fed. Sts.",,4.3,38.5,12.4,,1999
Moldova,,1.44,45.7,9.03,,1999
Mongolia,,2.14,26.2,11,,1999
Montenegro,,1.88,21.9,7.73,,1999
Montserrat,,,27.5,,,1999
Morocco,,2.78,22.5,11.1,,1999
Mozambique,,5.82,153,10.4,,1999
Myanmar,,2.91,21.1,10.7,,1999
Namibia,,4.02,85.2,11.1,,1999
Nauru,,,114,,,1999
Nepal,,4.03,124,10.5,,1999
Netherlands,,1.72,6.71,5.69,,1999
Netherlands Antilles,,2.1,0,,,1999
New Caledonia,,2.42,17.9,8.02,,1999
New Zealand,,1.98,28.2,6.89,,1999
Nicaragua,,3.08,125,11.7,,1999
Niger,,7.68,216,10.3,,1999
Nigeria,,6.11,130,10.8,,1999
Niue,,,0,,,1999
North Korea,,1.99,1.14,7.81,,1999
North Macedonia,,1.72,29.1,8.21,,1999
Northern Mariana Islands,,,60.2,,,1999
Norway,,1.85,11.7,5.71,,1999
Oman,,3.72,28.1,12.3,,1999
Pakistan,,4.58,48.8,10.5,,1999
Palau,,,25.9,,,1999
Palestine,,5.38,81.4,10.5,,1999
Panama,,2.74,90.7,9.55,,1999
Papua New Guinea,,4.53,72.8,10.6,,1999
Paraguay,,3.55,86.1,10.9,,1999
Peru,,2.93,65.1,10.2,,1999
Philippines,,3.81,52,10.4,,1999
Poland,,1.35,17.1,8.26,,1999
Portugal,,1.46,20.7,6.46,,1999
Puerto Rico,,1.91,68,7.78,,1999
Qatar,,3.24,20.8,9.47,,1999
Reunion,,2.38,37.8,8.42,,1999
Romania,,1.31,39,7.29,,1999
Russia,,1.2,31,7.65,,1999
Rwanda,,5.64,48.2,12.3,,1999
Samoa,,4.5,40.3,9.85,,1999
San Marino,,,0,,,1999
Sao Tome and Principe,,5.28,85.9,12.2,,1999
Saudi Arabia,,3.97,27.3,10.4,,1999
Senegal,,5.47,110,11.4,,1999
Serbia,,1.77,26.7,6.83,,1999
Seychelles,,2.15,55,9.81,,1999
Sierra Leone,,6.32,146,10.6,,1999
Singapore,,1.6,7.4,6.52,,1999
Slovak Republic,,1.27,23.5,7.93,,1999
Slovenia,,1.21,7.26,6.73,,1999
Solomon Islands,,4.72,70.5,10.8,,1999
Somalia,,7.62,72.2,9.57,,1999
South Africa,,2.83,74.7,10.9,,1999
South Korea,,1.35,2.5,7.87,,1999
South Sudan,,6.22,,10,,1999
Spain,,1.23,8.46,6.18,,1999
Sri Lanka,,2.24,30.8,9.73,,1999
St. Helena,,,32.3,,,1999
St. Kitts and Nevis,,,65.7,,,1999
St. Lucia,,2.2,65.1,10.3,,1999
St. Vincent and the Grenadines,,2.38,69.2,10.5,,1999
Sudan,,5.47,79,10.6,,1999
Suriname,,2.86,47.2,9.35,,1999
Sweden,,1.56,8.44,5.49,,1999
Switzerland,,1.44,6.07,5.49,,1999
Syria,,4.04,48,11.9,,1999
Taiwan,,1.68,14,8.43,,1999
Tajikistan,,3.91,33.2,11.2,,1999
Tanzania,,5.69,133,10.8,,1999
Thailand,,1.67,44.5,8.4,,1999
Timor-Leste,,7.11,70.8,9.78,,1999
Togo,,5.41,84.9,11.3,,1999
Tokelau,,,0,,,1999
Tonga,,4.25,21.8,11.2,,1999
Trinidad and Tobago,,1.75,38,11.2,,1999
Tunisia,,2.14,7.29,10.7,,1999
Turkey,,2.5,46.5,9.86,,1999
Turkmenistan,,2.82,20.9,10.4,,1999
Turks and Caicos Islands,,,0,,,1999
Tuvalu,,,48.9,,,1999
Uganda,,6.87,180,10.8,,1999
Ukraine,,1.15,33,7.1,,1999
United Arab Emirates,,2.64,26,9.34,,1999
United Kingdom,,1.68,29.3,5.89,,1999
United States,,2.05,46.1,6.79,,1999
Uruguay,,2.24,65,7.29,,1999
Uzbekistan,,2.74,25.2,10.7,,1999
Vanuatu,,4.37,59.6,11,,1999
Venezuela,,2.82,92.9,9.98,,1999
Vietnam,,2.01,26.3,10.1,,1999
Virgin Islands (U.S.),,2.1,43.3,7.93,,1999
Wallis et Futuna,,,18.2,,,1999
Western Sahara,,3.1,,10.8,,1999
Yemen,,6.31,98.4,11.1,,1999
Zambia,,6.04,153,11.3,,1999
Zimbabwe,,4.06,87.6,12.4,,1999
Afghanistan,,7.39,171,10.5,,2000
Albania,,2.07,0,9.56,,2000
Algeria,,2.44,9.19,12.1,,2000
American Samoa,,,50.1,,,2000
Andorra,,,0,,,2000
Angola,,6.6,204,10.9,,2000
Anguilla,,,57.6,,,2000
Antigua and Barbuda,,2.31,66.8,8.25,,2000
Argentina,,2.54,61,8.46,,2000
Armenia,,1.2,0,9.29,,2000
Aruba,,1.85,41.3,6.64,,2000
Australia,,1.76,17.7,6.75,,2000
Austria,,1.33,13.4,5.74,,2000
Azerbaijan,,1.96,35.1,9.81,,2000
Bahamas,,1.99,47.6,8.99,,2000
Bahrain,,2.72,16.1,9.18,,2000
Bangladesh,,3.01,111,11.1,,2000
Barbados,,1.75,44.9,7.06,,2000
Belarus,,1.24,27.1,7.46,,2000
Belgium,,1.65,0,5.71,,2000
Belize,,3.5,94.2,10.9,,2000
Benin,,5.89,119,10.3,,2000
Bermuda,,,35.5,,,2000
Bhutan,,3.42,61.6,11.6,,2000
Bolivia,,3.96,84.9,10.1,,2000
Bosnia and Herzegovina,,1.43,19.9,7.2,,2000
Botswana,,3.29,63.6,11.7,,2000
Brazil,,2.23,86.7,9.94,,2000
British Virgin Islands,,,33.9,,,2000
Brunei,,2.12,26.7,8.86,,2000
Bulgaria,,1.19,43,6.34,,2000
Burkina Faso,,6.53,132,10.8,,2000
Burundi,,6.95,31.2,12,,2000
Cambodia,,3.65,47,13.4,,2000
Cameroon,,5.52,138,11.2,,2000
Canada,,1.52,16,6.59,,2000
Cape Verde,,3.62,96.9,11.6,,2000
Cayman Islands,,,0,,,2000
Central African Republic,,5.48,125,10.7,,2000
Chad,,7.32,190,10.4,,2000
Channel Islands,,1.4,12.3,5.36,,2000
Chile,,2.07,62.7,8.26,,2000
China,,1.51,7.93,8.29,,2000
Colombia,,2.35,94.9,9.53,,2000
Comoros,,5.31,64.2,11.2,,2000
"Congo, Dem. Rep.",,6.91,233,10.3,,2000
"Congo, Rep.",,5.09,130,10.6,,2000
Cook Is,,,47,,,2000
Costa Rica,,2.29,78.5,9.69,,2000
Cote d'Ivoire,,5.65,135,10.9,,2000
Croatia,,1.42,15,6.41,,2000
Cuba,,1.61,53.8,6.77,,2000
Curaçao,,,,7.21,,2000
Cyprus,,1.66,8.39,7.91,,2000
Czech Republic,,1.14,11.2,6.2,,2000
Denmark,,1.75,7.6,5.09,,2000
Djibouti,,4.36,29.3,10.7,,2000
Dominica,,,46.9,,,2000
Dominican Republic,,2.86,110,10.3,,2000
Ecuador,,2.97,84.7,9.99,,2000
Egypt,,3.18,53.8,11,,2000
El Salvador,,2.9,95.8,9.57,,2000
Equatorial Guinea,,5.79,130,10.6,,2000
Eritrea,,5.23,86.3,13.5,,2000
Estonia,,1.34,24,6.72,,2000
Eswatini,,4.11,104,12.6,,2000
Ethiopia,,6.38,100,10.7,,2000
Faeroe Islands,,,13.6,,,2000
Falkland Is (Malvinas),,,0,,,2000
Fiji,,3.05,42.4,10.6,,2000
Finland,,1.73,10.6,6.07,,2000
France,,1.84,8.34,6.32,,2000
French Guiana,,3.79,115,8.34,,2000
French Polynesia,,2.41,56.7,10.1,,2000
Gabon,,4.46,112,10.4,,2000
Gambia,,5.93,108,10.2,,2000
Georgia,,1.59,50.9,7.5,,2000
Germany,,1.35,13.4,5.44,,2000
Ghana,,4.75,82,10.7,,2000
Gibraltar,,,24.2,,,2000
Greece,,1.33,11,6.3,,2000
Greenland,,2.51,80.4,,,2000
Grenada,,2.51,53.2,11.3,,2000
Guadeloupe,,2.09,31.5,7.87,,2000
Guam,,2.79,59.2,8.16,,2000
Guatemala,,4.49,117,11.1,,2000
Guinea,,6.02,167,10.3,,2000
Guinea-Bissau,,5.73,134,11.2,,2000
Guyana,,2.99,80.7,8.99,,2000
Haiti,,4.18,54.4,11.6,,2000
Honduras,,3.94,105,11,,2000
"Hong Kong, China",,0.97,4.2,6.36,,2000
Hungary,,1.29,21.7,5.91,,2000
Iceland,,2,19.7,7.49,,2000
India,,3.24,102,10.2,,2000
Indonesia,,2.51,48.8,10.2,,2000
Iran,,2.09,36.5,13.6,,2000
Iraq,,4.8,68.4,10.8,,2000
Ireland,,1.96,19.5,8.55,,2000
Israel,,2.92,16.4,8.3,,2000
Italy,,1.27,6.88,4.97,,2000
Jamaica,,2.53,87,9.53,,2000
Japan,,1.31,5.9,5.58,,2000
Jordan,,3.95,32.9,11.2,,2000
Kazakhstan,,1.94,30.7,9.16,,2000
Kenya,,5.11,105,11.8,,2000
Kiribati,,4.02,0,10.6,,2000
Kuwait,,2.77,18.3,9.27,,2000
Kyrgyz Republic,,2.58,32.7,10.5,,2000
Lao,,4.14,52.7,10.9,,2000
Latvia,,1.21,17.7,6.95,,2000
Lebanon,,2.13,22.3,9.14,,2000
Lesotho,,3.97,90.5,12.2,,2000
Liberia,,5.8,147,10.7,,2000
Libya,,2.75,4.01,11.7,,2000
Liechtenstein,,,8.8,,,2000
Lithuania,,1.31,21.8,6.95,,2000
Luxembourg,,1.68,12.4,5.38,,2000
"Macao, China",,0.89,4.38,8.12,,2000
Madagascar,,5.45,151,10.4,,2000
Malawi,,6.1,160,10.4,,2000
Malaysia,,2.66,15.2,9.91,,2000
Maldives,,2.77,27.8,13.2,,2000
Mali,,6.88,190,10.7,,2000
Malta,,1.6,23.3,7.11,,2000
Marshall Islands,,,0,,,2000
Martinique,,1.91,28.9,5.85,,2000
Mauritania,,5.39,89.7,10.9,,2000
Mauritius,,1.96,36.4,8.16,,2000
Mayotte,,4.89,0,11.4,,2000
Mexico,,2.67,75,10.1,,2000
"Micronesia, Fed. Sts.",,4.2,36.4,12.4,,2000
Moldova,,1.35,41.6,9.22,,2000
Mongolia,,2.1,24,11.3,,2000
Montenegro,,1.87,21.4,7.72,,2000
Montserrat,,,32,,,2000
Morocco,,2.72,21,11,,2000
Mozambique,,5.81,165,10.4,,2000
Myanmar,,2.89,20.2,10.5,,2000
Namibia,,3.93,83.5,11.1,,2000
Nauru,,,149,,,2000
Nepal,,3.88,122,10.5,,2000
Netherlands,,1.71,6.89,5.73,,2000
Netherlands Antilles,,2.1,0,,,2000
New Caledonia,,2.38,18.5,8.17,,2000
New Zealand,,1.96,27.5,6.97,,2000
Nicaragua,,2.98,122,11.6,,2000
Niger,,7.67,215,10.2,,2000
Nigeria,,6.08,129,10.7,,2000
Niue,,,34.9,,,2000
North Korea,,1.99,1.06,7.87,,2000
North Macedonia,,1.68,27.7,8.18,,2000
Northern Mariana Islands,,,69.7,,,2000
Norway,,1.78,11,5.77,,2000
Oman,,3.48,23.1,12.4,,2000
Pakistan,,4.44,45,10.6,,2000
Palau,,,22.6,,,2000
Palestine,,5.23,76.4,10.6,,2000
Panama,,2.72,89.8,9.45,,2000
Papua New Guinea,,4.48,71.9,10.5,,2000
Paraguay,,3.43,84.2,11,,2000
Peru,,2.87,63.3,10.2,,2000
Philippines,,3.77,52.9,10.4,,2000
Poland,,1.31,16,8.14,,2000
Portugal,,1.46,19.8,6.23,,2000
Puerto Rico,,1.89,66.5,7.7,,2000
Qatar,,3.12,19.7,9.33,,2000
Reunion,,2.4,40,8.52,,2000
Romania,,1.31,35.6,7.26,,2000
Russia,,1.22,29.5,7.79,,2000
Rwanda,,5.54,46.5,12.3,,2000
Samoa,,4.48,38.5,9.79,,2000
San Marino,,,0,,,2000
Sao Tome and Principe,,5.23,83,12.1,,2000
Saudi Arabia,,3.83,23.9,10.5,,2000
Senegal,,5.39,109,11.3,,2000
Serbia,,1.74,26.2,6.82,,2000
Seychelles,,2.16,59,9.64,,2000
Sierra Leone,,6.24,145,10.6,,2000
Singapore,,1.41,7.2,6.46,,2000
Slovak Republic,,1.24,20.9,7.8,,2000
Slovenia,,1.21,6.5,6.61,,2000
Solomon Islands,,4.67,70.3,10.7,,2000
Somalia,,7.57,72,9.58,,2000
South Africa,,2.79,72.7,11,,2000
South Korea,,1.29,2.35,7.53,,2000
South Sudan,,6.14,,10.1,,2000
Spain,,1.25,9.24,5.92,,2000
Sri Lanka,,2.25,30.3,9.52,,2000
St. Helena,,,0,,,2000
St. Kitts and Nevis,,,67.4,,,2000
St. Lucia,,2.06,63.5,10.4,,2000
St. Vincent and the Grenadines,,2.32,66.9,10.4,,2000
Sudan,,5.4,76.3,10.5,,2000
Suriname,,2.82,46,9.38,,2000
Sweden,,1.58,8.28,5.63,,2000
Switzerland,,1.43,5.44,5.56,,2000
Syria,,3.94,46.8,11.8,,2000
Taiwan,,1.4,13,8.09,,2000
Tajikistan,,3.78,32.4,11.5,,2000
Tanzania,,5.68,132,10.8,,2000
Thailand,,1.64,44,8.27,,2000
Timor-Leste,,7.09,70.5,9.95,,2000
Togo,,5.36,81.9,11.2,,2000
Tokelau,,,0,,,2000
Tonga,,4.24,21.5,11,,2000
Trinidad and Tobago,,1.74,36.7,11.1,,2000
Tunisia,,2.09,6.9,10.7,,2000
Turkey,,2.45,44.6,9.72,,2000
Turkmenistan,,2.77,22,10.6,,2000
Turks and Caicos Islands,,,31.8,,,2000
Tuvalu,,,43.7,,,2000
Uganda,,6.82,176,10.8,,2000
Ukraine,,1.14,29.8,7.1,,2000
United Arab Emirates,,2.53,25.5,10,,2000
United Kingdom,,1.67,28,6.02,,2000
United States,,2.03,44.6,6.85,,2000
Uruguay,,2.22,64.3,7.21,,2000
Uzbekistan,,2.64,19.8,10.9,,2000
Vanuatu,,4.27,58.8,11,,2000
Venezuela,,2.78,92.5,9.97,,2000
Vietnam,,1.95,26,10.2,,2000
Virgin Islands (U.S.),,2.1,40.5,8.03,,2000
Wallis et Futuna,,,10.8,,,2000
Western Sahara,,2.99,,10.8,,2000
Yemen,,6.13,94.8,11.4,,2000
Zambia,,6,156,11.3,,2000
Zimbabwe,,4.02,81.4,12.4,,2000
Afghanistan,,7.27,161,10.6,,2001
Albania,,1.98,14.5,9.75,,2001
Algeria,,2.4,8.54,12,,2001
American Samoa,,,46.7,,,2001
Andorra,,,6.8,,,2001
Angola,,6.57,201,10.9,,2001
Anguilla,,,41.5,,,2001
Antigua and Barbuda,,2.29,0,8.25,,2001
Argentina,,2.52,61.5,8.42,,2001
Armenia,,1.2,28.2,9.47,,2001
Aruba,,1.83,35.7,6.69,,2001
Australia,,1.78,17.4,6.78,,2001
Austria,,1.39,13.6,5.75,,2001
Azerbaijan,,1.91,33.6,10.1,,2001
Bahamas,,1.93,44,8.81,,2001
Bahrain,,2.67,15.7,9.2,,2001
Bangladesh,,2.91,106,11,,2001
Barbados,,1.75,42.1,6.99,,2001
Belarus,,1.24,24.2,7.5,,2001
Belgium,,1.68,0,5.74,,2001
Belize,,3.39,91.2,10.8,,2001
Benin,,5.82,117,10.4,,2001
Bermuda,,,28.6,,,2001
Bhutan,,3.24,58.3,11.8,,2001
Bolivia,,3.87,84.4,10.1,,2001
Bosnia and Herzegovina,,1.37,18.2,7.25,,2001
Botswana,,3.19,61.3,11.5,,2001
Brazil,,2.16,86,9.77,,2001
British Virgin Islands,,,35.8,,,2001
Brunei,,2.03,26.2,9.11,,2001
Bulgaria,,1.22,40.3,6.34,,2001
Burkina Faso,,6.47,130,10.7,,2001
Burundi,,6.89,29,12.3,,2001
Cambodia,,3.52,45.4,13.2,,2001
Cameroon,,5.48,136,11.2,,2001
Canada,,1.52,15,6.59,,2001
Cape Verde,,3.48,94.7,11.8,,2001
Cayman Islands,,,0,,,2001
Central African Republic,,5.46,123,10.7,,2001
Chad,,7.27,190,10.4,,2001
Channel Islands,,1.41,11.9,5.52,,2001
Chile,,2.05,61.6,8.3,,2001
China,,1.52,8.2,8.81,,2001
Colombia,,2.31,95.7,9.44,,2001
Comoros,,5.3,63.6,11.2,,2001
"Congo, Dem. Rep.",,6.86,231,10.3,,2001
"Congo, Rep.",,5.08,131,10.6,,2001
Cook Is,,,0,,,2001
Costa Rica,,2.22,76.4,9.76,,2001
Cote d'Ivoire,,5.58,135,10.8,,2001
Croatia,,1.39,14.4,6.38,,2001
Cuba,,1.59,50.3,6.99,,2001
Curaçao,,,,7.12,,2001
Cyprus,,1.61,7.23,7.88,,2001
Czech Republic,,1.17,11.4,6.11,,2001
Denmark,,1.72,6.7,5.15,,2001
Djibouti,,4.24,28.8,11,,2001
Dominica,,,45.6,,,2001
Dominican Republic,,2.84,110,10.2,,2001
Ecuador,,2.91,84.5,9.96,,2001
Egypt,,3.13,52.5,11.1,,2001
El Salvador,,2.79,91.9,9.55,,2001
Equatorial Guinea,,5.73,129,10.5,,2001
Eritrea,,5.15,83.2,13.8,,2001
Estonia,,1.38,21.8,6.82,,2001
Eswatini,,4.04,102,12.5,,2001
Ethiopia,,6.22,97.2,10.6,,2001
Faeroe Islands,,,15.2,,,2001
Falkland Is (Malvinas),,,0,,,2001
Fiji,,3,41.5,10.3,,2001
Finland,,1.72,11.2,5.99,,2001
France,,1.87,8.06,6.3,,2001
French Guiana,,3.75,110,8.49,,2001
French Polynesia,,2.37,55.6,10.2,,2001
Gabon,,4.39,107,10.5,,2001
Gambia,,5.91,103,10.4,,2001
Georgia,,1.59,48.5,7.52,,2001
Germany,,1.35,12.8,5.52,,2001
Ghana,,4.68,79.9,10.7,,2001
Gibraltar,,,26.9,,,2001
Greece,,1.34,10.8,6.06,,2001
Greenland,,2.57,70.2,,,2001
Grenada,,2.46,51.1,11.4,,2001
Guadeloupe,,2.08,26.3,7.47,,2001
Guam,,2.76,54.5,8.25,,2001
Guatemala,,4.37,115,11,,2001
Guinea,,5.95,166,10.4,,2001
Guinea-Bissau,,5.64,131,11.2,,2001
Guyana,,2.96,82.4,8.73,,2001
Haiti,,4.07,52.5,11.5,,2001
Honduras,,3.82,103,10.9,,2001
"Hong Kong, China",,0.96,4,6.3,,2001
Hungary,,1.29,21.3,5.84,,2001
Iceland,,2.01,18.2,7.33,,2001
India,,3.18,98.6,10.2,,2001
Indonesia,,2.51,49,9.99,,2001
Iran,,2,33.5,13.7,,2001
Iraq,,4.71,71.3,10.7,,2001
Ireland,,1.96,19.2,8.18,,2001
Israel,,2.91,16,8.2,,2001
Italy,,1.29,7.03,4.87,,2001
Jamaica,,2.48,85.5,9.45,,2001
Japan,,1.3,6.2,5.44,,2001
